,Topics,Authors,Date,Description
969,"Application of the Chisholm-Laird two phase flow correlation to flow of varying quality. 
","Eckels, Donald E.",1963,Measurements of high frequency temperature and velocity fluctuations were made in the atmospheric boundary layer.  These data were analyzed using analog correlating techniques to obtain the structure function rather than ...
970,"Managing complex inventory control problems using mathematical decision rules. 
","Armstrong, George K.",1962,"Photocathodes, in which light is used to extract electrons from materials by the photoelectric effect, are the principal electron sources for many linear accelerators and Free Electron Lasers (FELs). There is an increasing ..."
971,"Diagnostic techniques in plasma research. 
","Newcomb, Charles W.",1964,This thesis focuses on the Taliban and the PKKs involvement in the opium trade. This thesis fills a gap by illustrating the extent to which terrorist organizations use drugs to raise funds in five stages of the heroin ...
972,"Analysis of temperature and velocity fluctuations in the atmospheric boundary layer 
","Gill, Thomas Edward, II",1971-03,"During the Korean War, Chinese captors of U.S. prisoners employed an unexpected and relatively successful compliance program. The Chinese, somewhat afraid of post-conflict repercussions for coercive torture, pursued ..."
973,"Quantum efficiency as a function of temperature in metal photocathodes 
","Kara, Abdullah",2013-06,"In connection with the fabrication of an adiabatic demagnetization cooling device, the properties of some high current superconducting magnet coils have been studied.  This thesis includes investigations of critical current ..."
974,"Cutting the link between drugs and terrorists: countering major terrorist-financing means 
","Khan, Kashif J.; Er, Olcay",2013-06,no description
975,"Influence: theory and practice 
","Hansen, William G.",2013-06,One of the non-linearities which occur in feedback control systems in transportation lag.  All of the currently popular mathematical techniques available for the analysis of these systems are severely complicated by the ...
976,"Properties of high current superconducting magnet coils 
","Finley, Robert H.; Martin, Richard T.",1963,"A cryogenic pump is a cold surface employed to remove large volumes
of gases from a vacuum system by condensing and freezing the gas molecules.
Experimental results are presented for the cryopumping rate of
carbon dioxide ..."
977,"A preliminary design and longitudinal dynamics study of a VTOL aircraft to operate efficiently in low altitude high speed flight 
","Keely, Leroy B.",1961-05,"This paper presents the results of efforts to implement a hybrid
control system at the U. S. Naval Postgraduate School, The salient
features of this effort are use of real time digital computer programming,
digital ..."
978,"An investigation of the effects of transportation lag on linear feedback control systems 
","Donohue, David P.; Federico, Charles D.",1961,"The control mechanism of the posicast control is completely linear. A step command is divided into two parts. In general, the second part must follow the first part by nearly one-half cycle of the transient. The total ..."
979,"Design and development of cryogenic pumping evaluation facility 
","Albero, Carl M.",1965,no description
980,"Digital control of a second order hybrid system 
","McCullough, Lawrence E.; Nash, Gordon C. Jr.",1964,"This is a continuation of work at the U. S. Naval Postgraduate School
under Professor N. L. Oleson, investigating oscillations in low pressure
ionized gases. Druyvesteyn analysis (using electronic methods for obtaining
first ..."
981,"A modified Posicast method of control with applications to higher order systems. 
","So, Hyo Chung; Vo Gerichten, Robert L.",1960,"This thesis was inspired by the need for investigation of new
methods of producing underwater sonic energy for possible use in signaling
and detection. Electrolysis of sea water into hydrogen and oxygen
and the detonation ..."
982,"The dielectric response of organic liquids at high frequencies. 
","Rudzis, Edwin M.",1963,An experimental investigation was undertaken to determine the effects of an impulsive load of very short duration on a simple structure such as a portal frame. Models built and tests conducted are described. Test results ...
983,"Plasma oscillations in low pressure gaseous discharges 
","Ketchel, Robert J.; Zobel, William M.",1963,no description
984,"An investigation of the power spectrum of underwater explosions of gaseous hydrogen and oxygen 
","Harris, Jack R.; Rigsbee, Clifford M.",1960,"The primary purpose of this project is to present
criteria concerning the concept which states that
""leadership to enlisted men is management to officers."""
985,"Portal frame under impact loading 
","Kurzenhauser, Alfred",1961,"With ever larger amounts of power being required by present day active sonars, studies are being made towards improving the efficiency of the power train.  A gain in efficiency is possible if non-linear switching type ..."
986,"An investigation of the flow aroung slender delta wings with leading edge separation 
","Bergesen, Andrew J.; Porter, James D.",22037,"A lithium ion source capable of delivering low energy,
monoenergetic beams of rectangular cross section, has been
developed for use in the study of low-energy atomic, ionic, and
molecular impact phenomena. An analysis ..."
987,"Command leadership afloat through command management 
","Bauerlein, Leo P.",1961-06,"In this report the plasma of the P-4 system in single-cathode operation is examined by probe techniques and compared with data taken previously in two-cathode operation.  Although no radical differences were discovered,  ..."
988,"Power amplification with gate turn-off controlled rectifiers 
","Camacho, Richard G.",1964,A mode transducer to separate the TE(10) and TE(20) modes propagating in multimode waveguide and couple the power from each into single mode waveguides is described.  The construction of an experimental model is shown and ...
989,"Production and analysis of lithium ion beams in the low electron volt region. 
","Lambert, Walker W.",1963,no description
